BinLocationName,ArticleSKU
FK01-1-A,PRO-00-10757-5
FK01-1-B,PCK-00-102736-5
FK01-2-A,PHF-11-10164-3
FK01-2-B,SPI-00-50086-5
FK01-3-A,PHF-11-10404-3
FK01-3-B,SPI-00-90513-5
FK01-4-A,PHF-11-10074-3
FK01-4-B,SPI-00-11653-5
FK01-5-A,PHF-11-10187-3
FK01-5-B,SPI-00-90514-5
FK01-6-A,PRO-00-90573-5
FK01-6-B,PHF-11-10695-3
FK01-7-A,PHF-11-117329-3
FK01-7-B,SPI-00-50085-5
FK01-8-A,SPI-00-50084-5
FK01-8-B,PHF-11-10839-3
FK02-1-A,PHF-11-10074-3
FK02-1-B,PCK-00-102736-5
FK02-2-A,PRO-00-10147-5
FK02-2-B,SPI-00-90518-5
FK02-3-A,PRO-00-143896-5
FK02-3-B,SPI-00-11650-5
FK02-4-A,DAI-11-100317-5
FK02-4-B,SPI-00-101532-5
FK02-5-A,DRY-00-001702-5
FK02-5-B,DRY-00-10460-5
FK02-6-A,DAI-11-100318-5
FK02-6-B,DRY-00-001704-5
FK02-7-A,PHF-11-102522-3
FK02-7-B,PRO-00-50340-5
FK02-8-A,DRY-00-001705-5
FK02-8-B,PHF-11-10791-3
FK03-1-A,PHF-11-10187-3
FK03-1-B,PCK-00-102736-5
FK03-2-A,PHF-11-10164-3
FK03-3-A,PHF-11-00016-3
FK03-3-B,SPI-00-90522-5
FK03-4-A,PHF-11-132613-5
FK03-4-B,PRO-00-115524-5
FK03-5-A,PHF-11-10304-3
FK03-5-B,DRY-00-141335-5
FK03-6-A,PHF-11-10404-3
FK03-6-B,PRO-00-50292-5
FK03-7-A,PRO-00-123234-5
FK03-7-B,SPI-00-90523-5
FK03-8-A,PHF-11-10433-3
FK03-8-B,PRO-00-123235-5
FK04-1-A,PRO-00-10735-5
FK04-1-B,PCK-00-102736-5
FK04-2-A,PHF-11-10164-3
FK04-2-B,SPI-00-90516-5
FK04-3-A,PRO-00-136070-5
FK04-3-B,SPI-00-90521-5
FK04-4-A,PHF-11-10433-3
FK04-4-B,SPI-00-90515-5
FK04-5-A,PHF-11-150274-5
FK04-5-B,SPI-00-002728-5
FK04-6-A,DRY-00-10474-5
FK04-6-B,SPI-00-90520-5
FK04-7-A,PHF-11-10299-3
FK04-7-B,DRY-00-10277-5
FK04-8-A,DRY-00-10012-5
FK04-8-B,PHF-11-10692-3
FK05-1-A,PHF-11-10074-3
FK05-1-B,SPI-00-11573-5
FK05-2-A,PHF-11-10164-3
FK05-2-B,SPI-00-12074-5
FK05-3-A,PRO-00-10760-5
FK05-3-B,SPI-00-12021-5
FK05-4-A,PHF-11-10107-3
FK05-4-B,PRO-00-10716-5
FK05-5-A,PRO-00-90460-5
FK05-5-B,SPI-00-90513-5
FK05-6-A,PRO-00-90573-5
FK05-6-B,SPI-00-101536-5
FK05-7-A,PRO-00-90459-5
FK05-7-B,SPI-00-11574-5
FK05-8-A,PHF-11-132610-5
FK05-8-B,PRO-00-124700-5
FK05-9-A,PHF-11-10299-3
FK05-9-B,SPI-00-90514-5
FK05-10-A,PHF-11-10359-3
FK05-10-B,PHF-11-10544-3
FK06-1-A,PHF-11-00016-3
FK06-1-B,PCK-00-102736-5
FK06-2-A,SPI-00-139093-5
FK06-2-B,SPI-00-90499-5
FK06-3-A,PHF-11-10359-3
FK06-3-B,SPI-00-90520-5
FK06-4-A,PHF-11-10303-3
FK06-4-B,PHF-11-10398-3
FK06-5-A,PRO-00-123229-5
FK06-5-B,SPI-00-90519-5
FK06-6-A,PRO-00-002386-5
FK06-6-B,PHF-11-10791-3
FK06-7-A,PHF-11-10304-3
FK06-7-B,PRO-00-10064-5
FK06-8-A,PHF-11-10404-3
FK06-8-B,PHF-11-10848-3
FK06-9-A,SPI-00-139094-5
FK06-9-B,PRO-00-124700-5
FK06-10-A,PHF-11-10405-3
FK06-10-B,SPI-00-90500-5
FK07-1-A,DAI-11-100317-5
FK07-1-B,SPI-00-90510-5
FK07-2-A,PHF-11-132608-5
FK07-2-B,PHF-11-10164-3
FK07-3-A,DAI-11-100318-5
FK07-3-B,SPI-00-90508-5
FK07-4-A,PHF-11-10074-3
FK07-4-B,SPI-00-50298-5
FK07-5-A,DRY-00-002451-5
FK07-5-B,PRO-00-123231-5
FK07-6-A,PHF-11-132610-5
FK07-6-B,SPI-00-50299-5
FK07-7-A,DRY-00-002450-5
FK07-7-B,PHF-11-00009-3
